Light Intensity and Water Temperature Scripts (30 Year Averages + Stdev)  Location in Southern Florida (Station 84570 Key west) for Pond Depth of 20.5 cm. ,,,,,
Date,Time,Light,Light,Temp,Temp
(m:dd:yy),(hr:min:sec),(umoles/m2-sec),(umoles/m2-sec),(o C),(o C)
Average,Stdev,Average,Stdev
01-01-0001,0:00:00,0,0,18.05,3.353407942
01-01-0001,1:00:00,0,0,17.41533333,2.996046514
01-01-0001,2:00:00,0,0,16.885,2.78428936
01-01-0001,3:00:00,0,0,16.454,2.65613746
01-01-0001,4:00:00,0,0,16.087,2.589122005
01-01-0001,5:00:00,0,0,15.74366667,2.569696726
01-01-0001,6:00:00,0,0,15.44833333,2.57596595
01-01-0001,7:00:00,163.855912,42.71185935,15.352,2.61183302
01-01-0001,8:00:00,499.4032,113.0779672,15.84533333,2.679834958
01-01-0001,9:00:00,811.31494,163.8079781,17.05,2.756403204
01-01-0001,10:00:00,1048.136817,200.5430599,18.71333333,2.853157154
01-01-0001,11:00:00,1193.035498,221.3578077,20.52333333,2.934536718
01-01-0001,12:00:00,1236.288407,224.4878193,22.18666667,3.052950335
01-01-0001,13:00:00,1174.731223,209.4962676,23.46,3.162015944
01-01-0001,14:00:00,1012.712196,177.6851882,24.18,3.26363453
01-01-0001,15:00:00,761.2382887,132.1121856,24.29,3.335426354
01-01-0001,16:00:00,437.4370213,79.89970973,23.76,3.356886899
01-01-0001,17:00:00,132.643212,43.36010735,22.65333333,3.314308929
01-01-0001,18:00:00,3.207374,17.5675109,21.32333333,3.218447188
01-01-0001,19:00:00,0,0,20.13666667,3.106554065
01-01-0001,20:00:00,0,0,19.19333333,2.991474476
01-01-0001,21:00:00,0,0,18.40333333,2.884498801
01-01-0001,22:00:00,0,0,17.76666667,2.783737668
01-01-0001,23:00:00,0,0,17.21666667,2.684320158
01-02-0001,0:00:00,0,0,16.74333333,2.475630652
01-02-0001,1:00:00,0,0,16.37666667,2.251234655
01-02-0001,2:00:00,0,0,16.02666667,2.160927855
01-02-0001,3:00:00,0,0,15.72333333,2.200890624
01-02-0001,4:00:00,0,0,15.44666667,2.286200482
01-02-0001,5:00:00,0,0,15.19333333,2.397258971
01-02-0001,6:00:00,0,0,14.95666667,2.541338682
01-02-0001,7:00:00,168.9719247,40.47245237,14.94333333,2.702704053
01-02-0001,8:00:00,515.0669527,95.53761127,15.49,2.819678387
01-02-0001,9:00:00,837.060036,128.1053852,16.77333333,2.924796879
01-02-0001,10:00:00,1081.868059,156.0201167,18.55,2.987646981
01-02-0001,11:00:00,1232.004733,175.4513062,20.48666667,3.023555036
01-02-0001,12:00:00,1277.080177,183.1216805,22.29333333,3.074246006
